,FROM_ADDRESS,TOP_PROFILE,TOP_PROFILE_SCORE
0,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,529
1,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,313
2,0x0000000000001ff3684f28c67538d4d072c22734,Dex Trader,322
3,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,69
4,0x000000000000f10286d9c1c5d4635a25070572b6,Nft Collector,7
5,0x000000000000fea5f4b241f9e77b4d43b76798a9,Dex Trader,27
6,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,Dex Trader,0
7,0x00000000000e1a99dddd5610111884278bdbda1d,Dex Trader,0
8,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0
9,0x00000000005bbb0ef59571e58418f9a4357b68a0,Dex Trader,219
10,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,174
11,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,1365
12,0x0000000000a39bb272e79075ade125fd351887ac,Yield Farmer,457
13,0x0000000000a84d1a9b0063a910315c7ffa9cd248,Dex Trader,80
14,0x0000000000c2d145a2526bd8c716263bfebe1a72,Protocol Dev,69
15,0x0000000000c2f3017e5af636ea91bd68ec3888ed,Dex Trader,39
16,0x000000000c56e91f092023d942aee89b3cc089ff,Dex Trader,30
17,0x000000000dfde7deaf24138722987c9a6991e2d4,Dex Trader,52
18,0x000000004685666c7653cc148f566f0511901b37,Dex Trader,61
19,0x00000000a991c429ee2ec6df19d40fe0c80088b8,Dex Trader,291
20,0x00000000ede6d8d217c60f93191c060747324bca,Dex Trader,76
21,0x0000000895cb182e6f983eb4d8b4e0aa0b31ae4c,Dex Trader,11
22,0x00000011f84b9aa48e5f8aa8b9897600006289be,Dex Trader,0
23,0x00000023c10000eecb940000b914cdfd76cc83d1,Dex Trader,150
24,0x00000047bb99ea4d791bb749d970de71ee0b1a34,Dex Trader,1224
25,0x000000629fbcf27a347d1aeba658435230d74a5f,Staker Validator,281
26,0x000000633b68f5d8d3a86593ebb815b4663bcbe0,Staker Validator,269
27,0x000000d40b595b94918a28b27d1e2c66f43a51d3,Dex Trader,673
28,0x0000030ec64df25301d8414ee5a29588c4b0de10,Dex Trader,18
29,0x000010036c0190e009a000d0fc3541100a07380a,Dex Trader,55
30,0x000056f7000000ece9003ca63978907a00ffd100,Dex Trader,0
31,0x00005ea00ac477b1030ce78506496e8c2de24bf5,Dex Trader,0
32,0x0000e0ca771e21bd00057f54a68c30d400000000,Dex Trader,92
33,0x000ba527862e5b82cff0f7c66b646af023274aa1,Dex Trader,34
34,0x0027aae1fa29d513c8ba9ddea4264ebe78aeafdd,Dex Trader,8
35,0x004395edb43efca9885cedad51ec9faf93bd34ac,Yield Farmer,2
36,0x006124ae7976137266feebfb3f4d2be4c073139d,Dex Trader,0
37,0x006ab11e89e7246cb8c0f7bdaa8c2713374b1676,Dex Trader,43
38,0x0096913d68a000311266250f0000000000e04c00,Dex Trader,42
39,0x00a0be1bbc0c99898df7e6524bf16e893c1e3bb9,Oracle User,1056
40,0x00a5fd09f6cee6ae9c8b0e5e33287f7c82880505,Dex Trader,0
41,0x00aa5429d1b7c90d156c812653970c6f86d5b062,Dex Trader,74
42,0x00b321d89a8c36b3929f20b7955080baed706d1b,Dex Trader,13
43,0x00b35e625c25495341f32e9238198cd99cde727e,Dex Trader,72
44,0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Dex Trader,0
45,0x00befcb6fd36dd54127eae3bab1ff39538da49dd,Dex Trader,23
46,0x00c452affee3a17d9cecc1bcd2b8d5c7635c4cb9,Dex Trader,0
47,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,Dex Trader,0
48,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0,Dex Trader,4
49,0x00ed26e794b949e18b142f9108429b74ce08ac99,Dex Trader,38
50,0x00f44eb2f3500e19f7b4b63c0348f43a3aa37ebc,Dex Trader,33
51,0x01024aaed5561fa6237c0ad4073417576c591261,Dex Trader,12
52,0x01164a8c25fd69627b8981caa656fa487bbdc348,Dex Trader,27
53,0x017632b92ac2397ab61423044fa137ff8a9c6a16,Dex Trader,23
