,FROM_ADDRESS,function_count_30d_bin,value_sent_bin,contract_diversity_7d_bin,gas_used_7d_bin,tx_per_day_bin,first_last_bin,tx_count_30d_bin_binary,cluster_jaccard
0,0x000000000000003607fce1ac9e043a86675c5c2f,0,none_or_zero,low,very_low,high,very_short,1,4
1,0x00000000000000447e69651d841bd8d104bed493,1,none_or_zero,very_low,very_low,high,,1,3
2,0x0000000000000068f116a894984e2db1123eb395,1,none_or_zero,medium,medium,very_high,,1,5
3,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0,none_or_zero,low,very_low,very_high,,1,5
4,0x00000000000000fb866daaa79352cc568a005d96,0,none_or_zero,very_low,low,high,,1,3
5,0x0000000000000dededdd16227aa3d836c5753194,1,none_or_zero,low,very_low,high,,1,6
6,0x00000000000016af6f453a28c22c25cfc1b74dd1,0,none_or_zero,low,very_low,high,,1,4
7,0x0000000000001ff3684f28c67538d4d072c22734,0,very_high,very_high,medium,very_high,,1,5
8,0x000000000000305b8621e2475aee38ab5721d525,0,none_or_zero,low,very_low,high,,1,4
9,0x000000000000ad05ccc4f10045630fb830b95127,0,tiny,low,very_low,high,,1,4
10,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,1,low,low,low,very_high,,1,5
11,0x000000000000f10286d9c1c5d4635a25070572b6,0,none_or_zero,low,very_low,high,,1,4
12,0x000000000000f87b8230c9233b00474eda1e1b3b,0,none_or_zero,low,very_low,high,very_short,1,4
13,0x000000000000fea5f4b241f9e77b4d43b76798a9,0,none_or_zero,low,very_low,high,,1,4
14,0x000000000004444c5dc75cb358380d2e3de08a90,1,none_or_zero,very_high,medium,very_high,,1,5
15,0x0000000000085d4780b73119b644ae5ecd22b376,1,none_or_zero,very_low,medium,high,,1,3
16,0x000000000022d473030f116ddee9f6b43ac78ba3,1,none_or_zero,very_high,medium,very_high,,1,5
17,0x00000000002fd5aeb385d324b580fca7c83823a0,1,none_or_zero,very_low,medium,high,,1,3
18,0x000000000035b5e5ad9019092c665357240f594e,0,none_or_zero,very_low,low,high,,1,3
19,0x00000000004e3d5628234f18b977041e5242651f,0,none_or_zero,low,low,high,,1,4
20,0x0000000000771a79d0fc7f3b7fe270eb4498f20b,0,none_or_zero,very_low,very_low,high,,1,3
21,0x000000000077ee1fcfe351df1ff22736e995806b,1,none_or_zero,low,very_low,high,,1,6
22,0x00000000009726632680fb29d3f7a9734e3010e2,1,high,medium,medium,very_high,,1,5
23,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,1,very_high,very_high,medium,very_high,,1,5
24,0x0000000000a39bb272e79075ade125fd351887ac,1,very_high,very_low,low,very_high,,1,5
