,MONTH,FROM_ADDRESS,TOP_PROFILE,WALLET_GAS_USED,CATEGORY_GAS_MEAN
0,2024-03,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,3378301.0,761873.7096774194
1,2024-04,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,3860941.0,786629.6896551724
2,2024-05,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,6240125.0,827514.2333333333
3,2024-06,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,4470495.0,1199538.0357142857
4,2024-07,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,3583391.0,857976.4117647059
5,2024-08,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,4585510.0,1268673.0
6,2024-09,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,2518383.0,586298.2424242424
7,2024-10,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,2934751.0,411274.4210526316
8,2024-11,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,5913291.0,624673.6111111111
9,2024-12,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,7933097.0,744773.641025641
10,2024-01,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,10925619.0,1258341.8260869565
11,2024-02,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,12418598.0,2325491.9166666665
12,2024-03,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,1735326.0,761873.7096774194
13,2024-04,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,441486.0,786629.6896551724
14,2024-05,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,77275.0,827514.2333333333
15,2024-06,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,149785.0,1199538.0357142857
16,2024-07,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,115404.0,857976.4117647059
17,2024-08,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,45463.0,1268673.0
18,2024-10,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,35496.0,411274.4210526316
19,2024-11,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,692707.0,624673.6111111111
20,2024-08,0x0000000000001ff3684f28c67538d4d072c22734,Dex Trader,178544.0,1154777.3007270324
21,2024-09,0x0000000000001ff3684f28c67538d4d072c22734,Dex Trader,219.0,1000618.3312616532
22,2024-10,0x0000000000001ff3684f28c67538d4d072c22734,Dex Trader,6563125.0,987277.7902140673
23,2024-11,0x0000000000001ff3684f28c67538d4d072c22734,Dex Trader,20947179.0,983223.5868772783
