,MONTH,FROM_ADDRESS,TOP_PROFILE,WALLET_TOTAL_VALUE,CATEGORY_VALUE_MEAN
0,2024-03,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,0.0,16.92108526476018
1,2024-04,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,0.0,1.462097932853231
2,2024-05,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,0.0,0.8251439331091157
3,2024-06,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,0.0,0.5174948272535714
4,2024-07,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,0.0,44.87667799564882
5,2024-08,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,0.0,0.5119654970012967
6,2024-09,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,0.0,197.79387071181975
7,2024-10,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,0.0,2.957811800423684
8,2024-11,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,0.0,10.034130859877983
9,2024-12,0x0000000000000068f116a894984e2db1123eb395,Protocol Dev,0.0,0.197026181598819
10,2024-01,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,0.0,3.4409671745191304
11,2024-02,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,0.0,10.569185856617917
12,2024-03,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,0.0,16.92108526476018
13,2024-04,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,0.0,1.462097932853231
14,2024-05,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,0.0,0.8251439331091157
15,2024-06,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,0.0,0.5174948272535714
16,2024-07,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,0.0,44.87667799564882
17,2024-08,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,0.0,0.5119654970012967
18,2024-10,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,0.0,2.957811800423684
19,2024-11,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,Protocol Dev,0.0,10.034130859877983
20,2024-08,0x0000000000001ff3684f28c67538d4d072c22734,Dex Trader,0.0,0.9840019601490381
21,2024-09,0x0000000000001ff3684f28c67538d4d072c22734,Dex Trader,0.0,2.0043089114011567
22,2024-10,0x0000000000001ff3684f28c67538d4d072c22734,Dex Trader,7.099107898584,2.1224521396158402
23,2024-11,0x0000000000001ff3684f28c67538d4d072c22734,Dex Trader,4.0924875321952,4.3477144816659985
24,2024-12,0x0000000000001ff3684f28c67538d4d072c22734,Dex Trader,8.6953698878655,4.961583011373187
25,2024-03,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,0.0,5.849710497500981
26,2024-04,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,0.0,1.9606889731787303
27,2024-05,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,0.0,2.3484354944829144
28,2024-06,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,0.0,1.8698409128650508
29,2024-07,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,0.01710243639,6.511754067159507
30,2024-08,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,0.0,0.9840019601490381
31,2024-09,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,0.0,2.0043089114011567
32,2024-10,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,0.0,2.1224521396158402
33,2024-11,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,0.0,4.3477144816659985
34,2024-12,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,0.0,4.961583011373187
35,2024-12,0x000000000000f10286d9c1c5d4635a25070572b6,Nft Collector,0.0,0.1768251724137931
36,2024-03,0x000000000000fea5f4b241f9e77b4d43b76798a9,Dex Trader,0.0,5.849710497500981
37,2024-05,0x000000000000fea5f4b241f9e77b4d43b76798a9,Dex Trader,0.0,2.3484354944829144
38,2024-07,0x000000000000fea5f4b241f9e77b4d43b76798a9,Dex Trader,0.0,6.511754067159507
39,2024-08,0x000000000000fea5f4b241f9e77b4d43b76798a9,Dex Trader,0.0,0.9840019601490381
