,month,wallet_address,eth_balance,tx_count
392,2024-04,0x00000000000030e5959659622cb7eb50aa20ee52,2.10813,674
393,2024-05,0x00000000000030e5959659622cb7eb50aa20ee52,4.166629,1963
394,2024-06,0x00000000000030e5959659622cb7eb50aa20ee52,7.984797,2747
395,2024-07,0x00000000000030e5959659622cb7eb50aa20ee52,9.946088,2958
396,2024-08,0x00000000000030e5959659622cb7eb50aa20ee52,10.768526,2948
397,2024-09,0x00000000000030e5959659622cb7eb50aa20ee52,13.00479,2209
398,2024-10,0x00000000000030e5959659622cb7eb50aa20ee52,16.98749,2407
399,2024-11,0x00000000000030e5959659622cb7eb50aa20ee52,21.591598,2656
400,2024-12,0x00000000000030e5959659622cb7eb50aa20ee52,27.302782,3274
401,2025-01,0x00000000000030e5959659622cb7eb50aa20ee52,31.335014,3764
402,2025-02,0x00000000000030e5959659622cb7eb50aa20ee52,32.518372,3632
403,2025-03,0x00000000000030e5959659622cb7eb50aa20ee52,32.424029,4026
404,2025-04,0x00000000000030e5959659622cb7eb50aa20ee52,33.201306,4402
447,2025-03,0x00000000000067f5b5b06c66a9a8d4445ba98083,0.5,5
448,2025-04,0x00000000000067f5b5b06c66a9a8d4445ba98083,0.500001,3
499,2025-02,0x000000000000c8dcb423f2095460086e0b381044,0.388747,11
500,2025-03,0x000000000000c8dcb423f2095460086e0b381044,-0.411358,8
501,2025-04,0x000000000000c8dcb423f2095460086e0b381044,-2.410674,8
557,2024-04,0x00000000000124d994209fbb955e0217b5c2eca1,3.406545,1901
558,2024-05,0x00000000000124d994209fbb955e0217b5c2eca1,10.240969,5332
559,2024-06,0x00000000000124d994209fbb955e0217b5c2eca1,18.522686,7281
560,2024-07,0x00000000000124d994209fbb955e0217b5c2eca1,23.941702,7291
561,2024-08,0x00000000000124d994209fbb955e0217b5c2eca1,27.335472,7237
562,2024-09,0x00000000000124d994209fbb955e0217b5c2eca1,33.705218,6240
563,2024-10,0x00000000000124d994209fbb955e0217b5c2eca1,45.734023,7536
564,2024-11,0x00000000000124d994209fbb955e0217b5c2eca1,59.795084,7897
565,2024-12,0x00000000000124d994209fbb955e0217b5c2eca1,84.424405,12934
566,2025-01,0x00000000000124d994209fbb955e0217b5c2eca1,99.024175,13052
567,2025-02,0x00000000000124d994209fbb955e0217b5c2eca1,102.492134,11143
568,2025-03,0x00000000000124d994209fbb955e0217b5c2eca1,104.35618,12590
569,2025-04,0x00000000000124d994209fbb955e0217b5c2eca1,106.042299,13723
660,2024-09,0x00000000000947821264914ad2c75f871aa2d026,1.653013,195
661,2024-10,0x00000000000947821264914ad2c75f871aa2d026,1.592957,206
662,2024-11,0x00000000000947821264914ad2c75f871aa2d026,1.482905,72
663,2024-12,0x00000000000947821264914ad2c75f871aa2d026,2.117461,155
664,2025-01,0x00000000000947821264914ad2c75f871aa2d026,2.697797,225
665,2025-02,0x00000000000947821264914ad2c75f871aa2d026,2.697757,200
